Actor1CountryCode,Actor2CountryCode,Strength
FRA,BEL,-4.112349309
TUR,GRC,4.190341578
POL,USA,1.050088933
GBR,ISR,0.641805226
ARM,AZE,-3.172599485
MYS,IDN,5.319563708
RUS,ARM,4.156236346
BEL,EUR,4.991372588
KEN,SOM,-2.902111901
UKR,DEU,9.516179122
AZE,ARM,-4.928714372
DEU,CHN,9.6502683
GRC,TUR,4.955627661
ARM,TUR,-0.305830606
VNM,CHN,3.792938287
BRA,USA,4.44907341
WST,RUS,-3.021262767
ITA,FRA,5.364602044
CHN,VNM,2.163986773
CHN,DEU,9.575697542
IDN,MYS,5.375784334
USA,BRA,5.255443485
CHN,AFR,7.19806371
FRA,UKR,9.186867319
GBR,ESP,0.533231611
FRA,ITA,5.170150042
YEM,USA,-1.730550527
ISR,FRA,1.446981233
ARM,RUS,4.233860045
IRN,DEU,9.483299191
KEN,USA,4.132817404
SYR,JOR,1.494605719
IRN,TUR,1.893922652
SAU,PAK,4.556213275
PRK,USA,-0.291997823
TUR,EUR,5.015389653
GBR,IRQ,-1.642627258
AFR,NGA,3.240217391
USA,VEN,0.292400844
CAN,FRA,4.119977753
IRN,CHN,10.05825351
CHN,BRN,0.380067002
TCD,NGA,-5.763053691
BLR,RUS,7.15568869
ESP,GBR,0.159084791
FRA,ISR,0.430712116
VEN,USA,1.163405552
ITA,GBR,4.433057289
EUR,BEL,5.589726416
EUR,TUR,6.644873547
CHN,PRK,2.105403855
AUS,CAN,4.664178247
JOR,ISR,2.050495164
UKR,EUR,5.8865625
FRA,CAN,3.255442098
GBR,EGY,3.886938349
EGY,LBY,-4.724092527
GBR,NGA,2.888283021
AUS,FRA,1.452688301
UKR,FRA,9.579654303
PSE,USA,-3.263989917
CAN,AUS,5.40419169
GBR,PAK,1.440162923
IRQ,AFG,-4.529059935
SOM,KEN,-5.386103848
ISR,LBN,-8.482700263
GBR,ITA,5.226676714
FRA,GRC,4.938844221
DEU,SYR,5.301170253
UKR,BLR,6.426443156
USA,LBN,3.822475734
ITA,EUR,4.558907574
ZWE,USA,-2.780320102
PAK,GBR,0.424515964
GBR,TUR,2.913904983
NZL,USA,4.920828494
SAU,RUS,6.584355234
TUR,GBR,1.165814406
ESP,FRA,2.543354554
AUS,JPN,5.287426557
EGY,GBR,3.778940432
IRN,CHE,7.947211896
ISR,JOR,4.485041883
THA,CHN,5.506854785
FRA,ESP,3.863817891
EGY,PSE,-1.892981988
MDV,USA,-3.69609815
SSD,SDN,-1.268297272
LBN,USA,0.292329431
IDN,USA,2.132306445
ISR,RUS,2.261944745
NGA,CMR,-2.065802687
GRC,RUS,5.780927765
DEU,TUR,3.820670315
MYS,USA,3.846487603
LBN,ISR,-8.492209046
AFR,CHN,7.858453437
USA,IDN,3.974636175
SAU,EGY,5.503117172
USA,ARM,5.333031611
CHE,IRN,8.774707521
DEU,AUT,5.426056043
FRA,AUS,1.628176487
YEM,IRN,-0.313521837
USA,MYS,4.611680672
JPN,AUS,6.193745608
TUR,SAU,6.544377284
NER,NGA,-2.927709827
USA,NZL,5.464759758
RUS,WST,-1.085784867
AFG,IRQ,0.081493553
SYR,SAU,2.63943742
TUR,ISR,1.934995737
EUR,SYR,6.896032987
SYR,EUR,4.788737201
NGA,GBR,2.677300526
CAN,CHN,6.01835425
NGA,TCD,-2.555693493
DEU,ITA,6.409126019
RUS,SAU,7.311238368
RUS,GRC,7.788804363
BEL,USA,2.737004025
BLR,UKR,7.526730104
TUR,FRA,-1.021309816
RUS,ISR,1.677748805
ITA,DEU,6.208841463
EGY,SAU,5.481168265
CMR,NGA,-1.742408377
USA,BEL,2.937469091
KEN,AFR,4.178521435
GBR,AFR,3.43291472
PHL,SEA,-2.220166837
PRK,CHN,2.604024587
ISR,GBR,2.542503337
LBY,EGY,-5.734456151
AUT,DEU,6.151997008
CHN,SGP,6.797768396
SYR,CAN,4.535590909
ARG,USA,3.294998484
USA,JAM,2.896199634
SDN,SSD,-0.361353176
USA,ZWE,-4.901460415
THA,MYS,4.0846367
USA,PAN,4.35090097
IRN,PAK,4.886491092
BEL,GRC,5.10432357
ISR,TUR,1.644676894
FRA,TUR,0.914230171
EUR,ITA,5.496778711
SGP,CHN,6.928410689
IRN,AUT,7.255142232
AUT,IRN,7.40622062
NGA,NER,-0.167781441
SAU,TUR,6.907328605
CHN,CAN,5.522146911
NOR,USA,4.03549763
CHN,EUR,7.360939725
EGY,QAT,0.666650786
USA,ARE,6.697071463
CHN,THA,6.283258929
THA,USA,1.836988937
RUS,JPN,4.820285898
PAN,USA,3.162566329
GBR,JPN,4.259043324
USA,COL,3.768970517
GRC,BEL,5.131661238
USA,QAT,5.331067802
PAK,IRN,5.746499753
AUS,SYR,2.64567942
AUS,MYS,3.590434495
JAM,USA,3.310034774
MYS,THA,4.868168268
USA,SOM,0.435214072
JOR,IRN,3.945984672
IRQ,GBR,0.346920381
POL,RUS,-0.265757322
DNK,USA,1.733283057
JPN,PHL,5.695465995
COL,USA,3.187468376
GBR,SAU,5.330632612
ZWE,AFR,2.338545023
ARE,USA,4.434820662
AFR,GBR,3.395313577
USA,ARG,4.21694886
EUR,CHN,7.044816862
ARM,USA,5.279292404
SOM,USA,-0.07096214
IRN,JOR,4.708831712
JPN,GBR,5.219905874
EUR,IRN,6.570099668
TUR,CYP,4.712996327
PSE,EGY,-0.075276558
DEU,ISR,4.290516333
USA,TWN,6.864054814
IND,BGD,3.841456977
NLD,GBR,3.528895932
BHS,USA,2.721930597
MYS,SEA,4.599206349
MCO,USA,0.568987454
GBR,GRC,4.717926031
JPN,RUS,5.165698086
TUR,DEU,4.764400428
CHN,NPL,9.790641186
PHL,JPN,5.787712091
USA,THA,3.910187668
GRC,FRA,5.263533835
SGP,MYS,5.940994236
CHL,USA,4.281041629
MYS,SGP,5.593438178
IRN,EUR,6.834669084
USA,CHL,4.420762943
VAT,USA,5.749243942
FRA,EGY,6.243024105
IND,GBR,2.972378517
ISR,DEU,4.433920705
IND,CHN,5.979473975
SWE,USA,3.909171271
USA,BHS,3.382664942
IDN,PHL,0.407986689
USA,NOR,4.847541288
GBR,BEL,4.283828444
USA,DNK,2.607769892
PAK,YEM,1.339285714
USA,AUT,6.054145516
QAT,USA,5.989322421
PHL,IDN,3.497905161
ITA,GRC,5.191441098
MYS,AUS,4.42813514
SAU,GBR,2.97479473
AUT,USA,5.666080978
AFR,KEN,4.803211009
TWN,USA,6.888933486
GBR,AFG,-1.903056517
IDN,CHN,5.546337243
QAT,EGY,0.683833718
SEA,PHL,-2.221169433
HUN,SRB,-6.540852472
ISR,EUR,3.914257889
USA,VAT,5.437170732
RUS,KAZ,7.511124122
HUN,EUR,1.347127784
BEL,GBR,3.657100939
TCD,CMR,-1.18109219
AFR,ZWE,2.358192866
CHN,MMR,1.329370218
CHN,AFG,8.84605573
SDN,EGY,6.005965741
GRC,GBR,4.260980894
CHN,IND,5.533385889
GBR,NLD,4.783306931
USA,HTI,4.781592534
LKA,CHN,8.796860719
MMR,CHN,0.631682578
EGY,SDN,6.290345793
USA,ETH,5.889186488
RUS,AFG,4.487741546
KEN,UGA,7.364850579
SAU,ISR,2.747336316
SYR,DEU,4.65817738
USA,SWE,5.473272171
RUS,POL,-0.220946359
CHN,LKA,8.835205228
USA,PER,5.626288871
IRN,AFG,4.849979533
CHN,IDN,6.919479721
RUS,IRQ,1.046149107
EGY,FRA,5.791923551
CYP,TUR,5.967359111
CHN,SEA,6.928148148
GRC,ITA,6.039267339
SEA,MYS,4.541759603
PER,USA,4.784626556
BRN,CHN,2.473520249
DEU,ESP,5.631362307
GRC,CYP,4.491015707
AZE,RUS,5.871005669
KAZ,RUS,8.39060727
JOR,IRQ,-0.269822109
USA,BGD,-0.990546842
USA,WST,2.953381386
EUR,ISR,2.536039856
IRQ,RUS,3.464799491
AZE,TUR,7.257549979
RUS,AZE,6.627208857
SEA,CHN,5.704932735
FRA,IRQ,-3.647297586
CAN,EGY,5.164528544
IRN,LBN,2.747871658
BGD,PAK,-2.270694087
EGY,SYR,1.411142181
USA,SGP,6.57641611
UGA,KEN,7.137322122
ESP,DEU,5.497621622
NPL,CHN,8.51834743
GBR,IND,4.091447797
BGD,IND,4.921644737
TUR,AZE,8.004431768
SGP,USA,6.750925518
AUS,IRQ,1.815705765
USA,LKA,6.63798895
USA,MMR,4.155616984
TUN,GBR,-11.135501
AFR,SDN,0.685704802
GBR,SWE,-0.873586161
DEU,POL,1.558616101
POL,DEU,2.776700756
IDN,SGP,4.670484875
BGD,USA,-1.178169643
AFG,GBR,-5.737877095
SDN,AFR,1.637986577
HTI,USA,3.459955157
PAK,RUS,9.849312908
IDN,SEA,2.859463722
USA,NPL,7.022570462
CAN,MEX,6.678317079
TUR,CHN,3.786392549
USA,MCO,2.146342572
GBR,TUN,-6.27198364
ETH,SDN,9.970311434
SDN,ETH,9.56630137
IRQ,SAU,-2.14890411
SGP,IDN,3.980713795
AFR,EUR,5.496206897
RUS,PAK,9.871715076
VEN,COL,-2.278888889
PAK,BGD,0.267914439
SAU,QAT,6.909837209
CAN,IRQ,-0.711458576
TCD,NER,-2.312184874
EUR,AFR,7.21555348
THA,MMR,2.925228177
JOR,SAU,5.148030942
FRA,CHE,4.750821982
ITA,LBY,4.554062352
EGY,CAN,4.886739285
CYP,GRC,6.023246445
USA,GUY,3.126032959
SAU,ARE,4.869147918
GBR,CHE,6.636997126
MEX,CAN,5.747769784
SYR,AUS,1.175732117
AFG,IRN,4.933839479
NZL,GBR,4.838151544
CMR,TCD,-3.451883148
EGY,ETH,8.877672727
NPL,USA,4.581077147
GBR,NZL,4.97890644
WST,TUR,3.362685478
GRC,SYR,9.381167883
GUY,USA,2.327219369
CHE,GBR,6.528962818
CHE,FRA,4.518851252
ITA,ESP,6.328247474
ARE,SAU,4.207557422
EGY,YEM,1.245166873
IRL,EUR,5.291916687
SAU,FRA,5.547686567
MMR,THA,3.856576981
AUT,HUN,0.15825
FRA,AFR,3.969271225
PHL,MYS,0.287299599
NER,TCD,-3.213587365
ESP,EUR,3.784186747
BOL,USA,3.648460374
LKA,USA,6.389316456
ESP,ITA,6.405882353
ETH,AFR,5.196115765
MYS,PHL,0.622521138
CHN,TUR,3.862701871
QAT,SAU,7.155789474
FRA,SAU,7.160581126
ETH,USA,5.920340294
SOM,ETH,-3.743269727
USA,SDN,2.49018595
CAN,JPN,8.537364341
HUN,HRV,-8.592701863
SYR,EGY,1.613889609
CAN,ISR,2.846810166
ECU,USA,4.997534389
CAN,RUS,0.260479042
USA,SEA,4.04859375
FRA,IRL,3.633125
USA,BOL,5.352112676
HUN,DEU,3.23341195
DEU,BEL,4.191887634
SEA,IDN,2.976201734
AFG,CHN,8.195684211
DEU,JPN,5.153540405
SAU,IRQ,-0.290662094
CHN,BRA,9.743174603
HUN,AUT,2.956632248
SAU,JOR,5.512877583
WST,AFG,-2.665851064
POL,EUR,3.577961139
DEU,CAN,5.550638978
KHM,VNM,2.604217832
USA,ECU,6.115594126
USA,AZE,6.007714975
ETH,EGY,9.722043443
USA,ZAF,3.051046699
FRA,NLD,4.549462943
LBN,IRN,1.746555436
ISR,SAU,3.71935397
TUR,WST,3.865831987
JPN,VNM,8.272259629
USA,LBR,5.842293131
JPN,FRA,4.822477685
BEL,DEU,3.629121475
CAN,DEU,5.299292709
GBR,ARE,7.236258278
EUR,HUN,3.723240997
COL,VEN,0.161172874
ZAF,USA,2.432050209
FRA,MLI,-2.530150754
AFG,RUS,1.631218558
ARE,GBR,6.330160067
FRA,JPN,4.994578652
NZL,CHN,7.40465707
IRL,FRA,3.567306607
THA,IDN,6.677162239
PAK,SAS,0.299065421
SWE,GBR,0.929345052
SDN,USA,2.12855925
NLD,FRA,5.029014806
BRA,CHN,10.48759977
IRQ,JOR,0.878516184
JPN,CAN,7.680946915
JPN,DEU,6.653170029
TUR,EGY,2.244579358
IRQ,FRA,-2.56015625
TWN,JPN,6.334635417
USA,SLV,-0.318679409
CHN,NZL,7.052325241
LBR,USA,5.641878841
MMR,USA,4.331343284
GBR,LBY,-1.545686619
CAN,UKR,7.622607164
WST,USA,2.597233667
GHA,AFR,4.904681979
DEU,NLD,5.562897527
AFR,FRA,1.909926362
AUT,EUR,4.321538008
AZE,EUR,6.457400295
AUS,TUR,2.057953873
DEU,AUS,3.46749556
ITA,RUS,4.641548043
ITA,VAT,3.609662988
LUX,EUR,6.323125187
TCD,USA,-1.772009569
TUN,LBY,-2.349414941
DEU,EGY,3.637623762
AUS,EUR,6.391739261
IDN,THA,7.142814191
VNM,KHM,4.578519856
SLV,USA,-0.916521216
IRN,PSE,6.050436879
SYR,GRC,4.765450708
RUS,AUT,7.56760181
PRK,JPN,-2.474932127
EUR,AZE,5.007824773
PAK,TUR,8.296517262
USA,GTM,2.703364656
JOR,PSE,5.089633222
GTM,USA,-1.21138088
EUR,IRL,5.45033557
EGY,AUS,3.436029412
USA,TCD,-2.738902514
UGA,AFR,4.906866953
EUR,ESP,5.379024839
AUT,SYR,4.378950598
EUR,LUX,6.269981584
AUS,DEU,4.132728391
JOR,EGY,5.023333333
IND,NPL,2.722962963
GRC,ALB,1.832056825
HRV,SRB,-3.66
RUS,ITA,6.012104283
NLD,DEU,5.318249534
EUR,ARM,7.099534017
AFR,ETH,6.1144427
EST,RUS,-0.712689394
PSE,SYR,-1.143791469
JPN,PRK,-1.266529579
AZE,USA,5.627350427
VAT,ITA,4.161419069
DEU,HUN,4.142644261
MYS,GBR,2.099809584
AUS,EGY,4.683726115
USA,GHA,5.438456633
KWT,SAU,1.969760766
VNM,JPN,8.95410412
CAN,EUR,7.164440895
EGY,TUR,2.418138196
AUS,VNM,6.030596537
DEU,CHE,6.155029014
AUT,RUS,8.034538412
LTU,RUS,-0.62918552
FIN,USA,4.85865976
CHN,ZWE,9.457976654
RUS,PRK,6.545100584
SEA,USA,4.522709552
IRN,AZE,7.999055375
AUS,IRL,0.641047463
PAK,FRA,-3.906391347
USA,DOM,4.635683831
ARG,IRN,-1.750492126
GBR,MYS,2.918844386
TUR,PAK,7.352714709
PSE,JOR,3.69297725
LBY,TUN,-3.931161098
USA,HND,1.973153693
EUR,POL,5.6333
EUR,AUS,6.455113636
AZE,IRN,6.050150451
GHA,USA,5.639156627
BDI,RWA,2.447553619
IRQ,AUS,2.266408616
AUS,SGP,7.600471698
RUS,TJK,4.068667791
NPL,IND,2.786336032
GBR,UKR,5.131482735
FRA,LBN,0.346106974
ITA,CHN,6.068010844
RUS,EST,-2.869769022
BEL,SYR,2.026759606
EGY,JOR,5.368947906
GRC,MKD,-1.626192098
POL,UKR,4.781390593
FRA,MAR,1.821180082
MAR,FRA,0.455893406
FRA,DZA,-2.721986301
POL,GBR,2.973783413
IRL,AUS,1.501236264
SYR,YEM,-2.092682927
JPN,THA,7.054020619
THA,JPN,6.430206186
GBR,POL,2.76558955
USA,FIN,4.443724138
RUS,CAN,2.17494824
AFG,WST,-8.164433702
PRK,RUS,6.301243953
ARG,GBR,-0.24369167
NLD,EUR,5.019334719
CHE,DEU,6.426139923
JPN,TWN,6.676724739
ZWE,CHN,9.748064179
EUR,BLR,6.047627355
LBN,SAU,-0.039189661
BEL,RUS,-0.418404479
WST,UKR,4.483508403
SYR,AUT,4.916332982
FRA,NGA,3.064112478
SGP,AUS,6.813510638
SAS,PAK,2.186155485
TJK,RUS,5.129338549
USA,UGA,4.493812233
RUS,KGZ,7.5613879
NIC,USA,3.136276255
GBR,KEN,-0.530851443
SYR,PSE,-2.748286938
THA,VNM,6.374330596
CHE,CHN,6.331369026
IND,LKA,4.464090582
EGY,DEU,4.525819229
MKD,GRC,1.370932755
THA,KHM,1.818770344
LKA,IND,3.357179024
TUR,QAT,6.60987699
USA,PRT,5.180919623
SAU,KWT,1.853222303
NGA,BEN,2.718244719
ESP,VEN,0.619562842
CMR,NER,-4.089306569
NER,CMR,-4.154522153
KGZ,RUS,7.703995601
YEM,EGY,3.26568915
KEN,GBR,-1.091709464
LBY,ITA,3.162825688
EUR,AUT,6.02115314
CHN,ITA,5.723492647
SAU,BHR,1.872489886
EUR,CAN,6.107482492
UGA,USA,4.621200889
VNM,AUS,5.905908584
CHN,CHE,6.16555184
USA,KWT,3.556410256
THA,AUS,0.242191577
USA,HUN,4.282847534
CHE,EUR,6.458267716
AUS,NLD,0.088918107
TUR,AUS,2.514360902
GBR,YEM,2.431174699
USA,KHM,4.179283019
VNM,THA,6.100378072
AFR,UGA,5.723699202
AFR,GHA,5.104445289
GBR,ZAF,1.894298746
JPN,EUR,6.693158495
NGA,FRA,1.648169336
RUS,CUB,7.214799235
USA,TUN,1.094712641
JOR,LBN,5.526940815
EGY,IRN,3.348923077
ALB,GRC,2.030484988
YEM,SYR,0.253161141
CHN,SYR,1.495831725
IDN,JPN,6.060301508
ARM,EUR,6.296403712
KHM,THA,3.97872093
ITA,EGY,1.340519581
GBR,ECU,3.686777821
DOM,USA,4.557181677
GBR,PSE,2.299844539
MEX,ESP,3.869778296
ISR,CAN,4.016381323
JPN,IDN,7.944140625
PHL,VNM,6.379194368
TUR,BEL,2.099882353
IND,JPN,6.223225552
BGR,EUR,7.318458498
ARE,YEM,-1.231679238
MLI,FRA,-2.251250496
BEN,NGA,3.757562525
RUS,VNM,8.294398093
HND,USA,1.546979332
NLD,BEL,5.892806041
ESP,MEX,4.18464
EUR,JPN,7.505166199
KWT,USA,3.316506024
AUS,PHL,5.49388576
IRN,EGY,3.901568785
EUR,NLD,5.071716358
QAT,TUR,6.742245557
ETH,KEN,2.560792239
VNM,PHL,6.21920744
FRA,AUT,7.258566221
THA,GBR,-4.037292258
USA,MAR,5.524827306
KEN,TZA,3.338918259
AUS,THA,2.37815297
LBY,SYR,-1.052141983
DZA,FRA,-2.233292534
SYR,LBY,-1.605889571
AUS,GHA,2.020122699
RUS,CHE,5.630032733
MYS,FRA,2.59909873
BEL,NLD,5.772511266
ZAF,GBR,1.515210223
NLD,MYS,2.991714757
LBN,FRA,0.581420314
CHN,KEN,10.50855019
SWE,EUR,3.057916494
SOM,AFR,-3.994665012
HUN,USA,4.677741001
LBN,JOR,4.816011585
USA,BRN,5.644743377
ESP,GRC,5.427747822
KEN,CHN,8.810224439
YEM,PAK,4.192154421
AUS,AFR,4.117737896
COL,CUB,7.10727729
BEL,TUR,4.467057837
GBR,LKA,4.960353535
JOR,TUR,6.453859131
BHR,SAU,4.025116083
SRB,HUN,-0.185171103
DOM,HTI,-0.961876585
KGZ,TJK,6.307372881
CUB,RUS,6.939041967
EUR,CHE,6.910814249
AFR,SOM,-4.295617021
USA,NIC,4.79412516
YEM,FRA,-6.178516624
MAR,USA,4.429381663
NOR,RUS,1.673239437
ESP,PRT,4.877241674
EGY,AFR,4.904442546
GBR,JOR,3.880761009
QAT,SYR,3.420462329
DEU,AFG,3.74948542
CUB,COL,8.615150215
PRT,USA,3.068457241
NLD,RUS,-0.936610608
SAU,LBN,2.209055627
CUB,PAN,8.245795602
FRA,YEM,-0.652050065
CAN,PHL,4.688001726
PAK,LKA,7.636741768
JOR,GBR,3.716066001
JPN,JOR,4.370851434
UKR,POL,4.087434783
GBR,NOR,6.433101348
AUT,FRA,6.551748252
GBR,JAM,3.509500876
TUR,TKM,1.933435583
JAM,GBR,2.694213064
TUN,USA,1.411594203
GBR,ARG,-0.048480845
MYS,BGD,6.599603699
GBR,SGP,6.612422907
VNM,RUS,8.433700441
NGA,GHA,4.309343323
IRN,ARG,3.430353982
FIN,RUS,1.649733807
AUS,ITA,3.874312334
NOR,GBR,6.304276169
PHL,FRA,4.369780957
TZA,AFR,5.828763441
TJK,KGZ,6.793721973
GBR,THA,0.142664872
CAN,IRL,5.711978466
IRQ,CAN,-1.298698384
OMN,IRN,9.393488999
DJI,ETH,11.80089807
ETH,DJI,11.8397482
MMR,BGD,2.297300945
UGA,SSD,5.38340081
DEU,IRQ,3.367371736
GBR,ZWE,2.225981056
IRN,OMN,9.947239819
PHL,AUS,4.115896739
AFR,AUS,3.566802721
PHL,CAN,3.069659864
EGY,ITA,1.907940109
GHA,AUS,2.710641201
SAU,AFG,5.026433121
PAN,CUB,9.020345926
ZAF,NGA,2.152787934
FRA,PSE,1.408504801
LBY,GBR,-1.914645309
ECU,GBR,8.73492209
PAK,ARE,5.274335472
TZA,KEN,5.212947658
BLR,EUR,6.383586207
DEU,BLR,7.971053843
GBR,AUT,7.552095808
KHM,USA,3.707922616
CRI,USA,3.731258645
CHN,KAZ,9.846863469
JPN,IND,6.146746654
CZE,USA,2.820914127
SGP,GBR,6.953422757
ARE,EGY,7.487783434
DNK,SWE,4.647916667
TUR,JOR,6.264272475
ISR,IRQ,-0.507510431
AFR,ISR,0.219043196
ITA,AUS,4.235302325
IRQ,EUR,5.775523499
JOR,RUS,9.011318118
BGD,MYS,4.978741259
GHA,NGA,3.794431446
HUN,RUS,6.150140581
KEN,ETH,3.713943662
TUR,PSE,2.496851504
ETH,SOM,1.555712271
LKA,PAK,7.595994345
UKR,MYS,-18.04273585
PRT,ESP,6.658667926
AUS,RUS,1.17221172
COD,RWA,-7.320851064
NMR,EUR,6.59943101
FRA,PHL,5.512144213
SRB,HRV,-1.524632178
ZWE,GBR,2.438870432
BDI,TZA,6.662505933
ARE,PAK,3.08039029
CHE,SYR,5.399142857
BGR,RUS,1.727038627
ESP,MAR,-0.257982792
FRA,DNK,-2.171948301
AUT,GBR,6.189534325
DNK,GBR,4.548847262
BGR,USA,4.268476694
GBR,BGD,2.681971154
ITA,AFR,3.074746499
NGA,CHN,7.511443747
KWT,SYR,6.299563319
CHE,RUS,5.670873786
UKR,WST,5.049878582
FRA,BLR,8.719543024
CAN,IRN,2.034014599
SWE,DNK,3.070656934
CAN,AFG,-0.777186126
EUR,IRQ,5.153958945
LBN,TUR,4.480332681
MYS,NLD,4.035535976
EGY,ARE,6.986238981
IND,FRA,3.579862812
HTI,DOM,0.391707556
KHM,CHN,7.271970443
ARE,IRN,1.95887574
RUS,YEM,2.391534653
AFR,MOZ,-0.29910847
SRB,EUR,6.230757801
FRA,MYS,2.645616642
RUS,NLD,-1.808383234
NLD,AUS,4.669597615
CHN,NGA,8.376727996
RWA,BDI,3.326606876
USA,BGR,4.381555334
JPN,MYS,8.00034965
NGA,ZAF,-1.400450451
LVA,RUS,2.59559339
